samples,class,middle_facial_height,lower_facial_height,philtrum,intercanthal_width,biocular_width,nasal_width,mouth_width
1.0,1.0,56.70613885733947,56.76486973351918,12.955341568480552,41.531970664156084,97.39411210264011,34.62610453195139,73.50798614543903
2.0,1.0,68.76684570692079,60.25596092504126,12.447938808940842,52.59291803890211,126.20620004584599,35.98348714517397,85.18253487562812
3.0,1.0,50.40204765010358,58.51693331147833,10.154150725501395,41.49696925642673,103.25763728459242,33.286327837747436,70.84292963274194
4.0,1.0,56.97504296775612,56.48181094698181,13.919771051454124,51.099330002821226,117.0633107341912,36.50279580349566,73.25827828812388
6.0,1.0,57.60591721501386,68.15503726769577,11.002464184954224,39.732263912304326,93.1068690515179,34.47377694171179,75.584911029259
7.0,1.0,61.078747253552116,61.775542420232945,9.079813692785761,48.416674826976696,114.17742035555762,37.611681088767575,76.86277175024395
8.0,1.0,24.25402006555305,27.209088772050055,5.366624725188068,18.98898675003487,41.798501271758546,14.007438509823974,27.890977868753538
8.0,1.0,68.0275908210195,60.87874323462993,12.099797209950461,51.87353482351478,122.6666268394449,40.15953781622743,85.71009655367169
9.0,1.0,53.62011469381361,58.23530986189241,9.186633013031743,47.47731569242259,109.1917683044172,37.89983523154816,76.01896198441018
10.0,1.0,51.40496653765353,43.46039028133664,9.71282623261249,30.241664140007174,71.43678555447002,24.803454600004823,48.819252533688996
13.0,1.0,70.53469494798846,58.36327768135674,14.852891360174153,46.35545542073878,114.54346883868814,35.41955114055795,60.86240699093078
15.0,1.0,60.9466783175084,82.80982940270437,14.597779365319102,54.08407175079299,127.87241880741078,43.051454882493815,91.37405906963414
19.0,1.0,60.931168299696374,72.43849868153328,13.070589113823443,45.93502565453621,113.49998616221116,39.30259421587843,80.73107267351897
20.0,1.0,28.345533387698406,29.98847551343848,5.32799645150971,20.989925441849866,45.15694743434255,13.502377928176227,23.0984030079354
21.0,1.0,58.06580507567281,48.66386524628927,14.5311159708675,47.575668056638214,111.41246007119588,35.35203862615282,59.675072430253465
22.0,1.0,68.97231133788537,58.74965449711682,10.376614266422589,39.25623353693652,98.59636469365748,29.865370505937136,69.12364859188062
24.0,1.0,63.826377230373026,67.24162809396053,10.115841743547605,50.21569418087738,121.04949897607186,44.02442115288441,86.64704658702915
